item	itemLabel
Q1095726	Clark MacGregor
Q1095752	Clark Wallace Thompson
Q1095818	Clarke Lewis
Q1096371	Claude A. Fuller
Q1096484	Claude Benton Hudspeth
Q1096657	Claude E. Cady
Q1096809	Claude Harris, Jr.
Q1096821	Claude I. Bakewell
Q1096839	Claude Kitchin
Q1096908	Claude L'Engle
Q1097216	Claude Weaver
Q1099210	Clay Stone Briggs
Q1099836	Clem McSpadden
Q1100238	Clement C. Dickinson
Q1100254	Clement Hall Sinnickson
Q1100278	Clement S. Hill
Q1100451	Cleo Fields
Q1100647	Clete Donald Johnson, Jr.
Q110070	Peter V. Deuster
Q1100710	Jay Inslee
Q1100717	Cleveland A. Newton
Q1100740	Cleveland Dear
Q1100770	Cleveland Monroe Bailey
Q1101209	Clifford Allen
Q1101243	Clifford Davis
Q1101248	Clifford E. Randall
Q1101299	Clifford McIntire
Q1101305	Clifford Philip Case
Q1101310	Clifford Ragsdale Hope
Q1101356	Clifton B. Beach
Q1101362	Clifton Clagett
Q1101387	Clifton R. Breckinridge
Q1101655	Clinton Babbitt
Q1101684	Clinton D. McKinnon
Q1101693	Clinton L. Cobb
Q1103272	Andrew Lawrence Somers
Q1103401	Benjamin Stanley Rosenthal
Q1103414	Robert Joseph Nodar, Jr.
Q1103431	Victor Anfuso
Q1103441	Lester Holtzman
Q1103456	Warren I. Lee
Q1103463	John Evert Van Alen
Q1103618	Clyde Doyle
Q1103722	Clyde Taylor Ellis
Q1103739	Clyde Williams
Q1103926	Frederick W. Rowe
Q1107736	Jacob H. De Witt
Q1107759	Martin G. Schuneman
Q1107785	Fetter Schrier Hoblitzell
Q1107791	Harmanus Bleecker
Q1107804	David Thomas
Q1107831	Samuel Rossiter Betts
Q1107837	Frank Charles Wachter
Q1107847	William Samuel Booze
Q1107855	Abraham J. Hasbrouck
Q1107868	Josiah Hasbrouck
Q1107875	Harry Benjamin Wolf
Q1108094	William Hinson Cole
Q1108107	Harry Welles Rusk
Q1108127	Abraham Bruyn Hasbrouck
Q1108131	Solomon Van Rensselaer
Q1108137	Killian K. Van Rensselaer
Q1108535	Colin M. Ingersoll
Q1108617	Estes Kefauver
Q11100866	David S. Dennison, Jr.
Q11112119	Mia Love
Q1112656	Peter Welch
Q1113163	John Blair
Q1114004	William W. Crapo
Q111455	Richard W. Barton
Q1115375	Lewis P. Featherstone
Q1115522	Edward R. Roybal
Q111568	Frederic Storm
Q111570	Alexander Newman
Q111581	James Maurice
Q111583	James W. Covert
Q111588	Robert L. Bacon
Q111591	John W. Lawrence
Q1116034	Thomas H. Eliot
Q111605	Frederick C. Hicks
Q111608	Henry Augustus Reeves
Q111610	John A. Searing
Q111615	Thomas Haymond
Q1116524	Richard M. Cooper
Q111702	John S. Barbour
Q11174352	J. Edward Russell
Q1117477	John T. Hunt
Q1118577	Max Sandlin
Q1118694	John Wilbur Atwater
Q1119528	Lambert Cadwalader
Q111959	Lathrop Brown
Q111965	Frederick William Lord
Q111969	Lewis Steenrod
Q1121674	Norman Adolphus Mozley
Q1122021	Compton I. White
Q11221556	Frank Le Blond Kloeb
Q1122828	Mick Staton
Q1123420	Samuel F. Hersey
Q1124069	Horace Davis
Q1124494	Thomas H. Hughes
Q1124603	James F. Wilson
Q112534	Ed Zschau
Q1125667	Finis E. Downing
Q1125970	Charles H. Ruggles
Q1126157	Connally Findlay Trigg
Q112622	Mary Teresa Norton
